"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-09 11:28:12.557, [INFO],Judge Storage:L0,845,0,0,0,0
2023-09-09 11:28:12.637, [INFO],Still Outside
2023-09-09 11:28:13.200, [INFO],Still Outside
2023-09-09 11:28:13.560, [INFO],Judge Storage:L0,859,0,0,0,0
2023-09-09 11:28:13.764, [INFO],Still Outside
2023-09-09 11:28:14.328, [INFO],Still Outside
2023-09-09 11:28:14.564, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:28:14.891, [INFO],Still Outside
2023-09-09 11:28:15.455, [INFO],Still Outside
2023-09-09 11:28:15.567, [INFO],Judge Storage:L0,849,0,0,0,0
2023-09-09 11:28:16.19 , [INFO],Still Outside
2023-09-09 11:28:16.571, [INFO],Judge Storage:L0,855,0,0,0,0
2023-09-09 11:28:16.581, [INFO],Still Outside
2023-09-09 11:28:17.144, [INFO],Still Outside
2023-09-09 11:28:17.574, [INFO],Judge Storage:L0,838,0,0,0,0
2023-09-09 11:28:17.707, [INFO],Still Outside
2023-09-09 11:28:18.270, [INFO],Still Outside
2023-09-09 11:28:18.577, [INFO],Judge Storage:L0,851,0,0,0,0
2023-09-09 11:28:18.833, [INFO],Still Outside
2023-09-09 11:28:19.400, [INFO],Still Outside
2023-09-09 11:28:19.579, [INFO],Judge Storage:L0,840,0,0,0,0
2023-09-09 11:28:19.963, [INFO],Still Outside
2023-09-09 11:28:20.526, [INFO],Still Outside
2023-09-09 11:28:20.583, [INFO],Judge Storage:L0,858,0,0,0,0
2023-09-09 11:28:21.89 , [INFO],Still Outside
2023-09-09 11:28:21.586, [INFO],Judge Storage:L0,838,0,0,0,0
2023-09-09 11:28:21.651, [INFO],Still Outside
2023-09-09 11:28:22.214, [INFO],Still Outside
2023-09-09 11:28:22.589, [INFO],Judge Storage:L0,850,0,0,0,0
2023-09-09 11:28:22.777, [INFO],Still Outside
2023-09-09 11:28:23.340, [INFO],Still Outside
2023-09-09 11:28:23.592, [INFO],Judge Storage:L0,864,0,0,0,0
2023-09-09 11:28:23.903, [INFO],Still Outside
2023-09-09 11:28:24.467, [INFO],Still Outside
2023-09-09 11:28:24.594, [INFO],Judge Storage:L0,864,0,0,0,0
2023-09-09 11:28:25.30 , [INFO],Still Outside
2023-09-09 11:28:25.593, [INFO],Still Outside
